2024-04-24 14:46:14, 4488704 KB, 7934348 KB, 858880 KB, 2097148 KB
2024-04-24 14:46:15, 4507040 KB, 7934348 KB, 884992 KB, 2097148 KB
2024-04-24 14:46:16, 4499668 KB, 7934348 KB, 910336 KB, 2097148 KB
2024-04-24 14:46:17, 4499148 KB, 7934348 KB, 921088 KB, 2097148 KB
2024-04-24 14:46:18, 4518212 KB, 7934348 KB, 960768 KB, 2097148 KB
2024-04-24 14:46:19, 4520964 KB, 7934348 KB, 999936 KB, 2097148 KB
2024-04-24 14:46:20, 4517148 KB, 7934348 KB, 1110016 KB, 2097148 KB
2024-04-24 14:46:21, 4549924 KB, 7934348 KB, 1110016 KB, 2097148 KB
2024-04-24 14:46:22, 4585408 KB, 7934348 KB, 1110016 KB, 2097148 KB
2024-04-24 14:46:23, 4605972 KB, 7934348 KB, 1110016 KB, 2097148 KB
2024-04-24 14:46:24, 4600616 KB, 7934348 KB, 1116160 KB, 2097148 KB
2024-04-24 14:46:25, 4653192 KB, 7934348 KB, 1116160 KB, 2097148 KB
2024-04-24 14:46:26, 4667032 KB, 7934348 KB, 1101056 KB, 2097148 KB
2024-04-24 14:46:27, 4699124 KB, 7934348 KB, 1101056 KB, 2097148 KB
2024-04-24 14:46:28, 4726776 KB, 7934348 KB, 1101056 KB, 2097148 KB
2024-04-24 14:46:29, 4748064 KB, 7934348 KB, 1101056 KB, 2097148 KB
2024-04-24 14:46:30, 4783672 KB, 7934348 KB, 1101312 KB, 2097148 KB
2024-04-24 14:46:31, 4819044 KB, 7934348 KB, 1101312 KB, 2097148 KB
2024-04-24 14:46:32, 4853136 KB, 7934348 KB, 1101312 KB, 2097148 KB
2024-04-24 14:46:33, 4862984 KB, 7934348 KB, 1105664 KB, 2097148 KB
2024-04-24 14:46:34, 4904360 KB, 7934348 KB, 1105664 KB, 2097148 KB
2024-04-24 14:46:35, 4954952 KB, 7934348 KB, 1105408 KB, 2097148 KB
2024-04-24 14:46:36, 4947132 KB, 7934348 KB, 1144064 KB, 2097148 KB
2024-04-24 14:46:37, 4974176 KB, 7934348 KB, 1144064 KB, 2097148 KB
2024-04-24 14:46:38, 4993612 KB, 7934348 KB, 1144064 KB, 2097148 KB
2024-04-24 14:46:39, 5028304 KB, 7934348 KB, 1144064 KB, 2097148 KB
2024-04-24 14:46:40, 5053980 KB, 7934348 KB, 1154560 KB, 2097148 KB
2024-04-24 14:46:41, 5077296 KB, 7934348 KB, 1164544 KB, 2097148 KB
2024-04-24 14:46:42, 5098376 KB, 7934348 KB, 1191168 KB, 2097148 KB
2024-04-24 14:46:43, 5121108 KB, 7934348 KB, 1191168 KB, 2097148 KB
2024-04-24 14:46:44, 5141904 KB, 7934348 KB, 1223168 KB, 2097148 KB
2024-04-24 14:46:45, 5184044 KB, 7934348 KB, 1227008 KB, 2097148 KB
2024-04-24 14:46:46, 5180420 KB, 7934348 KB, 1242624 KB, 2097148 KB
2024-04-24 14:46:47, 5209232 KB, 7934348 KB, 1244928 KB, 2097148 KB
2024-04-24 14:46:48, 5204664 KB, 7934348 KB, 1273088 KB, 2097148 KB
2024-04-24 14:46:49, 5194960 KB, 7934348 KB, 1332736 KB, 2097148 KB
2024-04-24 14:46:50, 5232292 KB, 7934348 KB, 1332736 KB, 2097148 KB
2024-04-24 14:46:52, 5213752 KB, 7934348 KB, 1385472 KB, 2097148 KB
2024-04-24 14:46:53, 5226424 KB, 7934348 KB, 1447168 KB, 2097148 KB
2024-04-24 14:46:54, 5244640 KB, 7934348 KB, 1545728 KB, 2097148 KB
2024-04-24 14:46:55, 5184136 KB, 7934348 KB, 1546240 KB, 2097148 KB
2024-04-24 14:46:56, 5226920 KB, 7934348 KB, 1545984 KB, 2097148 KB
2024-04-24 14:46:57, 5166736 KB, 7934348 KB, 1604096 KB, 2097148 KB
2024-04-24 14:46:58, 5156832 KB, 7934348 KB, 1626624 KB, 2097148 KB
2024-04-24 14:46:59, 5187644 KB, 7934348 KB, 1626624 KB, 2097148 KB
2024-04-24 14:47:00, 5228076 KB, 7934348 KB, 1624832 KB, 2097148 KB
2024-04-24 14:47:01, 5239092 KB, 7934348 KB, 1644800 KB, 2097148 KB
2024-04-24 14:47:02, 5246648 KB, 7934348 KB, 1658368 KB, 2097148 KB
2024-04-24 14:47:03, 5269480 KB, 7934348 KB, 1658112 KB, 2097148 KB
2024-04-24 14:47:04, 5279760 KB, 7934348 KB, 1682944 KB, 2097148 KB
2024-04-24 14:47:05, 5294992 KB, 7934348 KB, 1699072 KB, 2097148 KB
2024-04-24 14:47:06, 5334308 KB, 7934348 KB, 1797888 KB, 2097148 KB
2024-04-24 14:47:07, 5299572 KB, 7934348 KB, 1807104 KB, 2097148 KB
2024-04-24 14:47:08, 5321580 KB, 7934348 KB, 1825024 KB, 2097148 KB
2024-04-24 14:47:09, 5342132 KB, 7934348 KB, 1834240 KB, 2097148 KB
2024-04-24 14:47:10, 5341116 KB, 7934348 KB, 1897984 KB, 2097148 KB
2024-04-24 14:47:11, 5378080 KB, 7934348 KB, 1928448 KB, 2097148 KB
2024-04-24 14:47:12, 5411740 KB, 7934348 KB, 1927936 KB, 2097148 KB
2024-04-24 14:47:13, 5434756 KB, 7934348 KB, 1971968 KB, 2097148 KB
2024-04-24 14:47:14, 5443684 KB, 7934348 KB, 2065404 KB, 2097148 KB
2024-04-24 14:47:15, 5500312 KB, 7934348 KB, 2062076 KB, 2097148 KB
2024-04-24 14:47:16, 5527276 KB, 7934348 KB, 2097036 KB, 2097148 KB
2024-04-24 14:47:17, 5544456 KB, 7934348 KB, 2096972 KB, 2097148 KB
2024-04-24 14:47:18, 5572364 KB, 7934348 KB, 2096952 KB, 2097148 KB
2024-04-24 14:47:19, 5601760 KB, 7934348 KB, 2093296 KB, 2097148 KB
2024-04-24 14:47:20, 5625236 KB, 7934348 KB, 2097148 KB, 2097148 KB
2024-04-24 14:47:21, 5657384 KB, 7934348 KB, 2096748 KB, 2097148 KB
2024-04-24 14:47:22, 5693636 KB, 7934348 KB, 2097144 KB, 2097148 KB
2024-04-24 14:47:23, 5709584 KB, 7934348 KB, 2096944 KB, 2097148 KB
2024-04-24 14:47:24, 5743868 KB, 7934348 KB, 2097144 KB, 2097148 KB
2024-04-24 14:47:25, 5782704 KB, 7934348 KB, 2096920 KB, 2097148 KB
2024-04-24 14:47:26, 5812284 KB, 7934348 KB, 2096988 KB, 2097148 KB
2024-04-24 14:47:27, 5814772 KB, 7934348 KB, 2097112 KB, 2097148 KB
2024-04-24 14:48:33, 5774320 KB, 7934348 KB, 2096456 KB, 2097148 KB
2024-04-24 14:48:35, 5818500 KB, 7934348 KB, 2096924 KB, 2097148 KB
